単語,意味,例文,例文訳,類義語,メモ
What would you like me to call you?,名前なんて呼んだらいい？,,,,
Where in ~,〜のどこ出身ですか？,,,,
how long are you in ~ for,〜にどのくらいいるつもりですか？,,,,
How much longer will you be here for?,これからここにどのくらいいるんですか？,,,,
Do you wanna ~？,一緒に〜しない？,,,,
is there anything you wanna do?,何かしたいことある？,,,,
Are you free on 〜?,〜は暇ですか？,,,,
What would you like to eat?,何食べたい？,,,,
Do you wanna try some of this?,これ食べてみる？,,,,
Have you ever visited anyone else in ~?,〜の他のところ行ったことありますか？,,,,
Is there anywhere you would recommend?,おすすめの場所ってどこかある？,,,,
what do you get up to on your days off?,休みの日は何してますか？,,,,
What have you been up to lately?,最近何してる？,,,,
Do you mind if I ask ~?,〜について聞いてもいいですか？,,,,
Nice to meet you!,はじめまして！,,,,
Where are you from?,どこから来たの？,,,,
I’m an exchange student.,交換留学生です。,,,,
What’s your major?,専攻は何ですか？,,,,
Can you speak slowly?,ゆっくり話してもらえますか？,,,,
I didn’t catch that.,聞き取れませんでした。,,,,
Could you repeat that?,もう一度言ってもらえますか？,,,,
What does that mean?,それってどういう意味？,,,,
How do you spell that?,それどう綴るの？,,,,
Where is the classroom?,教室はどこですか？,,,,
I’m lost.,道に迷いました。,,,,
How do I get to the library?,図書館へはどう行けばいいですか？,,,,
Is this seat taken?,この席空いてますか？,,,,
Can I join you?,一緒にいいですか？,,,,
Do you have any plans this weekend?,今週末、何か予定ある？,,,,
Let’s hang out sometime!,今度遊ぼうよ！,,,,
Can you recommend a good place to eat?,どこか良い飲食店ある？,,,,
Do you want to grab a coffee?,コーヒーでもどう？,,,,
Are you free after class?,授業の後、空いてる？,,,,
Where can I buy a SIM card?,SIMカードはどこで買える？,,,,
Is there a student discount?,学生割引はありますか？,,,,
How much is this?,これはいくらですか？,,,,
I’d like to open a bank account.,銀行口座を開設したいです。,,,,
Where is the nearest ATM?,一番近いATMはどこですか？,,,,
What’s the Wi-Fi password?,Wi-Fiのパスワードは？,,,,
Can I get a student ID?,学生証はもらえますか？,,,,
What time does the cafeteria open?,カフェテリアは何時に開きますか？,,,,
Is there a microwave I can use?,電子レンジは使えますか？,,,,
What time is the next class?,次の授業は何時ですか？,,,,
Can I borrow a charger?,充電器借りてもいい？,,,,
Do you have the textbook?,教科書持ってる？,,,,
Can I take a look at your notes?,ノート見せてもらっていい？,,,,
When is the assignment due?,課題の締切はいつ？,,,,
Is attendance mandatory?,出席は必須ですか？,,,,
What’s the homework?,宿題は何ですか？,,,,
Is this class difficult?,この授業は難しい？,,,,
Where is the dormitory?,寮はどこですか？,,,,
Do you live on campus?,キャンパス内に住んでる？,,,,
How’s your roommate?,ルームメイトどう？,,,,
Let’s have a study session.,一緒に勉強しよう。,,,,
Are you in any clubs?,何かクラブ入ってる？,,,,
What’s your schedule like?,時間割はどんな感じ？,,,,
Do you want to study together?,一緒に勉強しない？,,,,
Let’s go shopping.,買い物に行こう。,,,,
Where’s the nearest supermarket?,一番近いスーパーは？,,,,
I’m not feeling well.,体調が良くない。,,,,
Where is the health center?,保健センターはどこ？,,,,
I need to see a doctor.,医者に診てもらいたい。,,,,
Is there a pharmacy nearby?,近くに薬局ある？,,,,
I miss home.,ホームシックだな。,,,,
Can we video call later?,あとでビデオ通話できる？,,,,
I need help with this form.,この書類の記入手伝って。,,,,
How do I register for classes?,授業登録はどうするの？,,,,
When does the semester start?,学期はいつ始まるの？,,,,
Is there a student lounge?,学生ラウンジってある？,,,,
Where can I print this?,これ印刷できる場所ある？,,,,
I’m having trouble with the Wi-Fi.,Wi-Fiがうまくつながらない。,,,,
What’s your Instagram?,インスタ教えて。,,,,
Let’s follow each other.,フォローし合おう。,,,,
Let’s call an Uber.,ウーバー呼ぼ！,,,,
Can you show me around?,案内してくれる？,,,,
What’s the best place to visit here?,この辺でおすすめの場所は？,,,,
Is there a student event today?,今日は学生イベントある？,,,,
I overslept!,寝坊した！,,,,
I forgot my homework.,宿題忘れた。,,,,
Can I borrow a pen?,ペン貸してくれる？,,,,
Do you know the answer?,答えわかる？,,,,
What do we have next?,次は何の授業？,,,,
Do we need to bring anything?,何か持っていくものある？,,,,
I think I’m in the wrong class.,クラス間違えたかも。,,,,
I’m nervous about the test.,テストが緊張する。,,,,
Did you understand today’s lecture?,今日の講義わかった？,,,,
Can you explain that part again?,その部分もう一度説明してくれる？,,,,
Let’s grab dinner.,夕食に行こう。,,,,
Do you want to go to the party?,パーティー行く？,,,,
Where is the laundry room?,ランドリールームはどこ？,,,,
Is there a gym on campus?,キャンパス内にジムある？,,,,
How do I apply for a visa extension?,ビザ延長はどうやって申請するの？,,,,
Is there a Japanese club?,日本人のクラブある？,,,,
Do you have instagram?,インスタ交換しよ！,,,,
I forgot my student ID.,学生証忘れた。,,,,
I’ll be late to class.,授業に遅れそう。,,,,
I need to do laundry.,洗濯しなきゃ。,,,,
Can I use your laptop?,パソコン使わせてくれる？,,,,
Where can I get school supplies?,学用品はどこで買える？,,,,
Let’s take a selfie.,一緒に写真撮ろう。,,,,
